clase,forma_sombrero,color_sombrero,magulladuras,olor,espaciado_laminas,tamano_laminas,color_laminas,forma_tallo,raiz_tallo,superficie_tallo_arriba_anillo,superficie_tallo_abajo_anillo,color_tallo_arriba_anillo,color_tallo_abajo_anillo,tipo_anillo,color_esporas,poblacion,habitat
e,x,y,t,a,c,b,k,e,c,s,s,w,w,p,n,n,g
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,n,n,m
p,x,w,t,p,c,n,n,e,e,s,s,w,w,p,k,s,u
e,x,g,f,n,w,b,k,t,e,s,s,w,w,e,n,a,g
e,x,y,t,a,c,b,n,e,c,s,s,w,w,p,k,n,g
e,b,w,t,a,c,b,g,e,c,s,s,w,w,p,k,n,m
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,n,s,m
p,x,w,t,p,c,n,p,e,e,s,s,w,w,p,k,v,g
e,b,y,t,a,c,b,g,e,c,s,s,w,w,p,k,s,m
e,x,y,t,l,c,b,g,e,c,s,s,w,w,p,n,n,g
e,x,y,t,a,c,b,n,e,c,s,s,w,w,p,k,s,m
e,b,y,t,a,c,b,w,e,c,s,s,w,w,p,n,s,g
p,x,w,t,p,c,n,k,e,e,s,s,w,w,p,n,v,u
e,x,n,f,n,w,b,n,t,e,s,f,w,w,e,k,a,g
e,s,g,f,n,c,n,k,e,e,s,s,w,w,p,n,y,u
e,f,w,f,n,w,b,k,t,e,s,s,w,w,e,n,a,g
p,x,n,t,p,c,n,n,e,e,s,s,w,w,p,k,s,g
p,x,w,t,p,c,n,n,e,e,s,s,w,w,p,n,s,u
p,x,n,t,p,c,n,k,e,e,s,s,w,w,p,n,s,u
e,b,y,t,a,c,b,k,e,c,s,s,w,w,p,n,s,m
p,x,n,t,p,c,n,n,e,e,s,s,w,w,p,n,v,g
e,b,y,t,l,c,b,k,e,c,s,s,w,w,p,n,s,m
e,b,w,t,a,c,b,w,e,c,s,s,w,w,p,n,n,m
e,b,w,t,l,c,b,g,e,c,s,s,w,w,p,k,s,m
p,f,w,t,p,c,n,n,e,e,s,s,w,w,p,n,v,g
e,x,y,t,a,c,b,n,e,c,s,s,w,w,p,n,n,m
e,x,w,t,l,c,b,w,e,c,s,s,w,w,p,n,n,m
e,f,n,f,n,c,n,k,e,e,s,s,w,w,p,k,y,u
e,x,y,t,a,w,n,n,t,b,s,s,w,w,p,n,v,d
e,b,y,t,l,c,b,g,e,c,s,s,w,w,p,n,n,m
p,x,w,t,p,c,n,k,e,e,s,s,w,w,p,n,s,u
e,x,y,t,l,c,b,n,e,c,s,s,w,w,p,n,n,m
e,x,n,t,l,c,b,p,e,r,s,y,w,w,p,n,y,p
e,b,y,t,l,c,b,n,e,c,s,s,w,w,p,n,s,m
e,x,y,t,l,w,n,w,t,b,s,s,w,w,p,n,v,d
e,s,g,f,n,c,n,k,e,e,s,s,w,w,p,k,v,u
p,x,n,t,p,c,n,w,e,e,s,s,w,w,p,n,s,u
e,x,y,t,a,w,n,p,t,b,s,s,w,w,p,n,v,d
e,b,y,t,l,c,b,k,e,c,s,s,w,w,p,k,s,m
e,b,y,t,a,c,b,n,e,c,s,s,w,w,p,n,s,g
e,x,y,t,l,c,b,n,e,r,s,y,w,w,p,k,y,p
e,x,n,f,n,c,n,g,e,e,s,s,w,w,p,k,y,u
p,x,w,t,p,c,n,p,e,e,s,s,w,w,p,n,v,g
e,x,y,t,a,c,b,w,e,c,s,s,w,w,p,k,n,m
e,x,w,t,a,c,b,n,e,c,s,s,w,w,p,n,n,g
e,x,y,t,l,c,b,k,e,c,s,s,w,w,p,k,s,m
e,x,w,t,l,c,b,w,e,c,s,s,w,w,p,n,n,m
e,x,y,t,l,c,b,n,e,r,s,y,w,w,p,n,s,p
e,f,y,t,l,c,b,w,e,r,s,y,w,w,p,k,s,p
e,x,n,t,a,c,b,w,e,r,s,y,w,w,p,k,s,g
e,x,w,t,l,c,b,k,e,c,s,s,w,w,p,k,s,g
e,b,w,t,l,c,b,k,e,c,s,s,w,w,p,n,n,m
p,x,n,t,p,c,n,k,e,e,s,s,w,w,p,n,v,u
p,x,w,t,p,c,n,k,e,e,s,s,w,w,p,k,v,u
e,b,y,t,a,c,b,w,e,c,s,s,w,w,p,k,s,m
e,f,g,f,n,w,b,n,t,e,s,s,w,w,e,n,a,g
e,b,w,t,a,c,b,w,e,c,s,s,w,w,p,n,n,g
e,x,y,t,l,c,b,k,e,c,s,s,w,w,p,k,n,g
e,x,n,t,a,c,b,p,e,r,s,y,w,w,p,k,y,p
e,s,g,f,n,c,n,k,e,e,s,s,w,w,p,n,v,u
e,b,y,t,a,c,b,k,e,c,s,s,w,w,p,n,s,m
e,b,y,t,l,c,b,g,e,c,s,s,w,w,p,n,s,m
e,b,y,t,l,c,b,g,e,c,s,s,w,w,p,n,n,m
e,b,w,t,l,c,b,n,e,c,s,s,w,w,p,n,s,g
e,f,n,f,n,w,b,k,t,e,s,s,w,w,e,k,a,g
e,x,w,t,l,c,b,n,e,c,s,s,w,w,p,k,s,g
e,f,y,t,a,c,b,w,e,r,s,y,w,w,p,n,s,g
e,x,y,t,a,c,b,w,e,c,s,s,w,w,p,k,n,g
e,x,g,f,n,c,n,p,e,e,s,s,w,w,p,n,v,u
e,f,y,t,l,w,n,p,t,b,s,s,w,w,p,n,v,d
e,b,w,t,l,c,b,g,e,c,s,s,w,w,p,n,s,m
e,f,y,t,l,w,n,w,t,b,s,s,w,w,p,n,v,d
e,x,n,t,a,c,b,p,e,r,s,y,w,w,p,k,s,p
e,b,y,t,a,c,b,k,e,c,s,s,w,w,p,k,s,g
e,f,y,t,l,w,n,p,t,b,s,s,w,w,p,n,v,d
e,x,w,t,l,w,n,n,t,b,s,s,w,w,p,u,v,d
e,f,n,t,l,c,b,p,e,r,s,y,w,w,p,n,y,p
p,x,n,t,p,c,n,w,e,e,s,s,w,w,p,n,v,u
e,f,n,t,a,c,b,n,e,r,s,y,w,w,p,n,y,g
e,x,n,f,n,w,b,k,t,e,f,s,w,w,e,n,s,g
p,x,w,t,p,c,n,w,e,e,s,s,w,w,p,k,s,g
e,f,g,f,n,c,n,n,e,e,s,s,w,w,p,n,y,u
